"importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vessel_id","cr286_vpins_3d_seismic_vesselid","owningbusinessunit"
"","R000065","","D3NCS17","1","0","","","2405674","GEO_ATLANTIC","b4e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000064","","D3NCS16","1","0","","","2405673","GEO_ATLANTIC","b2e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000062","","D3NCS14","1","0","","","2405672","GECO_EMERALD","b3e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000063","","D3NCS15","1","0","","","2405671","GECO_RESOLUTION","b1e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000061","","D3NCS13","1","0","","","2405670","GECO_EMERALD","b0e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000057","","D3NCS9","1","0","","","2405669","","ace0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000058","","D3NCS10","1","0","","","2405668","GECO_RESOLUTION","afe0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000060","","D3NCS12","1","0","","","2405667","RAMFORM_CHALLENGER","aee0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000059","","D3NCS11","1","0","","","2405666","GECO_RESOLUTION","ade0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000054","","D3PK1","1","0","","","2405665","AMADEUS","abe0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000055","","D3MTC9","1","0","","","2405664","NORDIC_EXPLORER","aae0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000053","","D3NCS7","1","0","","","2405663","PACIFIC_EXPLORER","a8e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000056","","D3NCS8","1","0","","","2405662","WESTERN_ATLAS","a9e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000050","","D3MTC7","1","0","","","2405661","VERITAS_VOYAGER","a7e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000052","","D3NCS7","1","0","","","2405660","NORDIC_EXPLORER","a6e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000051","","D3MTC8","1","0","","","2405659","PACIFIC_FINDER","a5e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000049","","D3MTC6","1","0","","","2405658","VERITAS_VOYAGER","a4e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000045","","D3MTC2","1","0","","","2405657","GECO_SAPPHIRE","a3e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000047","","D3MTC4","1","0","","","2405656","VERITAS_VOYAGER","a1e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000048","","D3MTC5","1","0","","","2405655","ELNUSA_FINDER","a0e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000046","","D3MTC3","1","0","","","2405654","GECO_SAPPHIRE","a2e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000041","","D3CL35","1","0","","","2405653","NORDIC_EXPLORER","9ce0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000044","","D3MTC1","1","0","","","2405652","GECO_SAPPHIRE","9ee0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000043","","D3NCS6","1","0","","","2405651","VIKING_II","9fe0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000042","","D3CL36","1","0","","","2405650","NORDIC_EXPLORER","9de0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000040","","D3CL34","1","0","","","2405649","GECO_DELTA","9be0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000039","","D3CL33","1","0","","","2405648","GECO_KAPPA","9ae0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000037","","D3NCS3","1","0","","","2405647","CGG_ORION","98e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000038","","D3CL32","1","0","","","2405646","MONARCH","99e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000034","","D3NCS2","1","0","","","2405645","RAMFORM_CHALLENGER","95e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000033","","D3CL31","1","0","","","2405644","EASTERN_EXPLORER","94e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000035","","D3NCS3","1","0","","","2405643","VERITAS_VIKING_II","96e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000036","","D3NCS3","1","0","","","2405642","VERITAS_VIKING_II","97e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000032","","D3CL30","1","0","","","2405641","STORMY","91e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000031","","D3CL29","1","0","","","2405640","","93e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000029","","D3CL27","1","0","","","2405639","RAMFORM_VICTORY","90e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000030","","D3CL28","1","0","","","2405638","CGGV_VERITAS","92e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000027","","D3CL25","1","0","","","2405637","AMADEUS","8fe0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000028","","D3CL26","1","0","","","2405636","SEISQUEST","8ee0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000026","","D3CL24","1","0","","","2405635","AMADEUS","8de0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000025","","D3CL23","1","0","","","2405634","ORIENT_EXPLORER","8ce0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000021","","D3NCS1","1","0","","","2405633","GEO_ATLANTIC","88e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000022","","D3CL21","1","0","","","2405631","GEO_CASPIAN","89e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000023","","D3CL22","1","0","","","2405630","AMADEUS","8be0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000024","","D3CL23","1","0","","","2405629","RAMFORM_CHALLENGER","8ae0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000018","","D3CL18","1","0","","","2405628","RAMFORM_CHALLENGER","87e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000019","","D3CL19","1","0","","","2405627","GECO_EMERALD","85e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000020","","D3CL20","1","0","","","2405626","VIKING_II","86e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000017","","D3CL17","1","0","","","2405625","NORDIC_EXPLORER","84e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000015","","D3CL15","1","0","","","2405624","NORDIC_EXPLORER","82e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000013","","D3CL13","1","0","","","2405623","NORDIC_EXPLORER","83e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000014","","D3CL14","1","0","","","2405622","RAMFORM_CHALLENGER","81e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000016","","D3CL16","1","0","","","2405621","NORDIC_EXPLORER","80e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000011","","D3CL11","1","0","","","2405619","NORDIC_EXPLORER","7ce0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000010","","D3CL10","1","0","","","2405618","WESTERN_LEGEND","7fe0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000012","","D3CL12","1","0","","","2405617","RAMFORM_CHALLENGER","7de0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000009","","D3CL9","1","0","","","2405616","WESTERN_LEGEND","7ee0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000008","","D3CL8","1","0","","","2405615","GECO_PRAKLA","79e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000007","","D3CL7","1","0","","","2405614","VIKING_II","7be0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000006","","D3CL6","1","0","","","2405613","MV_GECO_EAGLE","78e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000005","","D3CL5","1","0","","","2405612","MV_GECO_BETA","7ae0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000003","","D3CL3","1","0","","","2405611","GECO_RESOLUTION","76e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000001","","D3CL1","1","0","","","2405610","GECO_RESOLUTION","75e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000004","","D3CL4","1","0","","","2405609","GECO_EMERALD","74e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000002","","D3CL2","1","0","","","2405608","GECO_EMERALD","77e0f90c-d0fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
